Date and Time;Value
8-2-2017;2.496312
7-2-2017;2.468880
6-2-2017;2.462784
5-2-2017;2.420112
4-2-2017;2.487168
3-2-2017;2.438400
2-2-2017;2.484120
1-2-2017;2.496312
31-1-2017;2.523744
30-1-2017;2.572512
29-1-2017;2.593848
28-1-2017;2.609088
27-1-2017;2.596896
26-1-2017;2.575560
25-1-2017;2.545080
24-1-2017;2.493264
23-1-2017;2.456688
22-1-2017;2.474976
21-1-2017;2.526792
20-1-2017;2.514600
19-1-2017;2.554224
18-1-2017;2.602992
17-1-2017;2.624328
16-1-2017;2.633472
15-1-2017;2.624328
14-1-2017;2.639568
13-1-2017;2.651760
12-1-2017;2.618232
11-1-2017;2.633472
10-1-2017;2.697480
9-1-2017;2.727960
8-1-2017;2.667000
7-1-2017;2.676144
6-1-2017;2.740152
5-1-2017;2.709672
4-1-2017;2.688336
3-1-2017;2.737104
2-1-2017;2.740152
1-1-2017;2.737104
31-12-2016;2.737104
30-12-2016;2.785872
29-12-2016;2.810256
28-12-2016;2.831592
27-12-2016;2.849880
26-12-2016;2.840736
25-12-2016;2.825496
24-12-2016;2.791968
23-12-2016;2.785872
22-12-2016;2.840736
21-12-2016;2.859024
20-12-2016;2.913888
19-12-2016;2.923032
18-12-2016;2.932176
17-12-2016;2.901696
16-12-2016;2.813304
15-12-2016;2.859024
14-12-2016;2.910840
13-12-2016;2.962656
12-12-2016;2.974848
11-12-2016;2.987040
10-12-2016;2.990088
9-12-2016;2.999232
8-12-2016;2.980944
7-12-2016;3.075432
6-12-2016;2.999232
5-12-2016;2.993136
4-12-2016;2.996184
3-12-2016;3.014472
2-12-2016;3.014472
1-12-2016;3.014472
30-11-2016;3.026664
29-11-2016;3.041904
28-11-2016;3.017520
27-11-2016;3.020568
26-11-2016;3.020568
25-11-2016;3.087624
24-11-2016;3.136392
23-11-2016;3.112008
22-11-2016;3.093720
21-11-2016;3.054096
20-11-2016;3.020568
19-11-2016;3.057144
18-11-2016;3.124200
17-11-2016;3.157728
16-11-2016;3.139440
15-11-2016;3.182112
14-11-2016;3.191256
13-11-2016;3.176016
12-11-2016;3.176016
11-11-2016;3.209544
10-11-2016;3.172968
9-11-2016;3.191256
8-11-2016;3.172968
7-11-2016;3.172968
6-11-2016;3.172968
5-11-2016;3.185160
4-11-2016;3.203448
3-11-2016;3.233928
2-11-2016;3.227832
1-11-2016;3.240024
31-10-2016;3.240024
30-10-2016;3.243072
29-10-2016;3.279648
28-10-2016;3.294888
27-10-2016;3.319272
26-10-2016;3.355848
25-10-2016;3.368040
24-10-2016;3.407664
23-10-2016;3.404616
22-10-2016;3.419856
21-10-2016;3.450336
20-10-2016;3.471672
19-10-2016;3.483864
18-10-2016;3.493008
17-10-2016;3.447288
16-10-2016;3.453384
15-10-2016;3.502152
14-10-2016;3.532632
13-10-2016;3.575304
12-10-2016;3.578352
11-10-2016;3.456432
10-10-2016;3.520440
9-10-2016;3.514344
8-10-2016;3.550920
7-10-2016;3.608832
6-10-2016;3.605784
5-10-2016;3.633216
4-10-2016;3.614928
3-10-2016;3.602736
2-10-2016;3.642360
1-10-2016;3.608832
30-9-2016;3.572256
29-9-2016;3.578352
28-9-2016;3.566160
27-9-2016;3.553968
26-9-2016;3.544824
25-9-2016;3.584448
24-9-2016;3.596640
23-9-2016;3.584448
22-9-2016;3.593592
21-9-2016;3.532632
20-9-2016;3.526536
19-9-2016;3.483864
18-9-2016;3.474720
17-9-2016;3.566160
16-9-2016;3.560064
15-9-2016;3.550920
14-9-2016;3.557016
13-9-2016;3.520440
12-9-2016;3.502152
