Date and Time;Value
24-2-2022;4.715256
23-2-2022;4.709160
22-2-2022;4.639056
21-2-2022;4.568952
20-2-2022;4.517136
19-2-2022;4.486656
18-2-2022;4.410456
17-2-2022;4.465320
16-2-2022;4.565904
15-2-2022;4.581144
14-2-2022;4.596384
13-2-2022;4.611624
12-2-2022;4.645152
11-2-2022;4.642104
10-2-2022;4.672584
9-2-2022;4.690872
8-2-2022;4.696968
7-2-2022;4.724400
6-2-2022;4.724400
5-2-2022;4.742688
4-2-2022;4.754880
1-2-2022;4.760976
31-1-2022;4.757928
30-1-2022;4.748784
29-1-2022;4.724400
28-1-2022;4.733544
27-1-2022;4.709160
26-1-2022;4.709160
25-1-2022;4.709160
24-1-2022;4.663440
23-1-2022;4.657344
22-1-2022;4.654296
21-1-2022;4.654296
20-1-2022;4.657344
19-1-2022;4.648200
18-1-2022;4.623816
17-1-2022;4.632960
16-1-2022;4.620768
15-1-2022;4.642104
14-1-2022;4.645152
13-1-2022;4.639056
12-1-2022;4.632960
11-1-2022;4.639056
10-1-2022;4.654296
9-1-2022;4.663440
8-1-2022;4.626864
7-1-2022;4.632960
6-1-2022;4.632960
5-1-2022;4.639056
4-1-2022;4.626864
3-1-2022;4.663440
2-1-2022;4.684776
1-1-2022;4.690872
31-12-2021;4.709160
30-12-2021;4.742688
29-12-2021;4.767072
28-12-2021;4.791456
27-12-2021;4.821936
26-12-2021;4.837176
25-12-2021;4.858512
24-12-2021;4.861560
23-12-2021;4.882896
22-12-2021;4.901184
21-12-2021;4.901184
20-12-2021;4.916424
19-12-2021;4.931664
18-12-2021;4.937760
17-12-2021;4.940808
16-12-2021;4.953000
15-12-2021;4.956048
14-12-2021;4.989576
13-12-2021;4.998720
12-12-2021;5.004816
11-12-2021;5.007864
10-12-2021;4.992624
9-12-2021;4.998720
8-12-2021;5.007864
7-12-2021;5.017008
6-12-2021;5.029200
5-12-2021;4.989576
4-12-2021;5.017008
3-12-2021;5.004816
2-12-2021;5.010912
1-12-2021;5.020056
30-11-2021;5.044440
29-11-2021;5.047488
28-11-2021;5.071872
27-11-2021;5.074920
26-11-2021;5.090160
25-11-2021;5.114544
24-11-2021;5.126736
23-11-2021;5.151120
22-11-2021;5.178552
21-11-2021;5.199888
20-11-2021;5.227320
19-11-2021;5.260848
18-11-2021;5.291328
17-11-2021;5.312664
16-11-2021;5.343144
15-11-2021;5.376672
14-11-2021;5.413248
13-11-2021;5.440680
12-11-2021;5.440680
11-11-2021;5.419344
10-11-2021;5.443728
9-11-2021;5.492496
8-11-2021;5.535168
7-11-2021;5.580888
6-11-2021;5.623560
5-11-2021;5.666232
4-11-2021;5.711952
3-11-2021;5.760720
2-11-2021;5.812536
1-11-2021;5.870448
31-10-2021;5.928360
30-10-2021;5.977128
29-10-2021;6.013704
28-10-2021;6.025896
27-10-2021;6.096000
26-10-2021;6.178296
25-10-2021;6.227064
24-10-2021;6.242304
23-10-2021;6.278880
22-10-2021;6.288024
21-10-2021;6.288024
20-10-2021;6.281928
19-10-2021;6.278880
18-10-2021;6.275832
17-10-2021;6.272784
16-10-2021;6.266688
15-10-2021;6.251448
14-10-2021;6.242304
13-10-2021;6.227064
12-10-2021;6.211824
11-10-2021;6.184392
10-10-2021;6.166104
9-10-2021;6.147816
8-10-2021;6.129528
7-10-2021;6.114288
