STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,15-5-1930,,,0,0,0,,25,13.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,16-5-1930,,,7.9,0,0,,23.3,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,17-5-1930,,,50.8,0,0,,24.4,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,18-5-1930,,,0.3,0,0,,27.8,18.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,19-5-1930,,,14.5,0,0,,23.3,17.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,20-5-1930,,,0,0,0,,25,16.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,21-5-1930,,,0,0,0,,26.1,13.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,22-5-1930,,,8.4,0,0,,27.2,17.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,23-5-1930,,,8.9,0,0,,26.1,18.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,24-5-1930,,,1.5,0,0,,22.2,13.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,25-5-1930,,,0,0,0,,23.9,12.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,26-5-1930,,,0,0,0,,26.1,14.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,27-5-1930,,,0,0,0,,27.8,18.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,28-5-1930,,,0,0,0,,28.3,18.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,29-5-1930,,,0,0,0,,26.7,19.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,30-5-1930,,,0,0,0,,23.3,13.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,31-5-1930,,,0,0,0,,23.9,11.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,1-6-1930,,,0,0,0,,26.1,13.3
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,2-6-1930,,,0,0,0,,27.8,15.6
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,3-6-1930,,,0,0,0,,27.8,16.1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,4-6-1930,,,4.3,0,0,,24.4,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,5-6-1930,,,2.5,0,0,,25,19.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,6-6-1930,,,14,0,0,,25.6,18.9
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,7-6-1930,,,0,0,0,,24.4,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,8-6-1930,,,0,0,0,,22.8,12.8
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,9-6-1930,,,0,0,0,,23.3,11.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,10-6-1930,,,0,0,0,,26.7,14.4
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,11-6-1930,,,0,0,0,,26.7,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,12-6-1930,,,0,0,0,,26.1,17.2
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,13-6-1930,,,3,0,0,,24.4,16.7
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",33.62972,-84.44224,308.2,14-6-1930,,,0,0,0,,27.8,18.3
